Year,State,Topic,Question,Data_Value,Age_Group,Gender,Race/Ethnicity,Cluster
2022,Virginia,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,51.4,50-64 years,Female,Unknown,2
2022,Vermont,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,54.4,Overall,Female,Unknown,2
2022,California,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,45.2,Overall,Female,Unknown,2
2022,Virginia,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,46.9,Overall,Unknown,Unknown,2
2022,Oregon,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,50.9,65 years or older,Female,Unknown,2
2022,Arizona,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,32.3,65 years or older,Unknown,"White, non-Hispanic",0
2022,Oregon,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,13.4,50-64 years,Female,Unknown,1
2022,Rhode Island,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,10.1,Overall,Unknown,"White, non-Hispanic",1
2022,Connecticut,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,15.7,Overall,Unknown,Hispanic,1
2022,Michigan,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,48.1,50-64 years,Unknown,"White, non-Hispanic",2
